target,source
Apakah kau mengeluarkan banyak darah saat seks pertama kali?,Did you bleed much... your first time?
Rasio ini adalah 3 banding 1.,Odds against him are three to one. Place your bets.
Tapi kau harus lakukan sesuatu untukku./ Sebutkan.,But I need you to do something for me.
Dia beri aku sarung tinju buruk.,He gave me dodgy gloves.
"Sebuah perbatasan antara Timur dan Barat, pintu lain.","A border between East and West, another doorway."
Itu adalah masalah.,That's a problem.
"Selama kau punya waktu yang tepat, kau tahu, pergilah.","Just as long as you have a fucking great time, you know, fucking get wasted."
Kau hanya perlu memenangkan hati ibuku dan keluarganya.,You just need to win over Mom and her family.
Ada apa?,What's up?
Dan dia menyelamatkanku.,And he saved me.
Pastur dengan nama Jepang dan beristri orang Jepang.,The priest with the Japanese name and the Japanese wife.
Aku tak mau begini lagi.,I don't want to go on like this anymore.
Sepertinya terdengar sangat sederhana.,It does seem a little basic.
Dulu?,Used to?
Mengapa?,Because.
- Yeah?,- Yeah?
Akhirnya kau kembali.,At last you're back.
"Semuanya baik-baik, Millsy?","Everything all right, Millsy?"
"Sudahlah, nak.","No, my child."
"Mereka memancing kita, nak.","It's leadin' us, boy."
Sebuah dunia cinta sejati.,A world of true love
Bagaimana dengan Hendricks ?,What about Hendricks?
"Kau tidak berpendidikan, Orang udik menjijikkan!","You uneducated, filthy lout!"
Permisi.,Excuse me.
Aku baru saja melakukannya.,I just did.
-Aku Jake.,- I'm Jake.
Apakah penting mengetahuinya?,Does it matter who?
Anda dapat kembali ke India dan Anda tidak perlu mendengar dari saya lagi.,You can go back to India and you never have to hear from me again.
- Benarkah?,Well done.
- Itu yang aku perkirakan.,- That's what I thought.
♪ # Than he do from side to side ♪,Than he do from side to side
Soldier of Fortune?,Soldier of Fortune?
Ah.,Ah.
Apa yang mereka dapatkan dari brankas?,What did they get from the safe deposit box?
- kau tak harus melakukan ini.,- You don't have to do this.
Terlalu banyak kebetulan.,It's too much of a coincidence.
Apa?,What?
"Saya memiliki _BAR_ terbesar ""Planet of the Apes"" koleksi sampai _BAR_ kelas enam setelah orang tua saya membuat saya menjualnya di garage sale. _BAR_","I had the biggest ""Planet of the Apes"" collection until the sixth grade when my parents made me sell it at a garage sale."
... si penjelajah.,The traveler.
Sekali lagi...,Just one more...
"Dengar Cody, kita harus pergi..","Listen Cody, we have to go .."
Memang benar.,It's true.
Selama kau mau ikut saya Kemana saja terserah,"As long as you're coming, anywhere will do."
siap-siap!,Get ready.
Aku sedang berusaha.,I'm trying.
"Sekarang kau setengah terjual di Big and Tall, semua polisi sedang di posisinya.","Now you're like a half-off sale at Big and Tall, every cop is in line."
Itu bukan masalah.,It was no trouble.
Kamiberharapperjalanandamenyenangkan.,'We wish you a happy journey.
Bagaimana jika dia benar?,What if he's right?
Klasik Dale.,Classic Dale.
Kasian sekali Bill dan mereka.,That's super fucked up about Bill and those guys.
Namaku Danny.,My name is Danny.
"Oh, Maya.","Oh, Maya."
-Lihat siapa itu.,- Look who it is.
buka mulutmu.,"Open, open."
Aku tinggal di Queens.,I live in Queens.
kami prefek diperlakukan sebagai budak,Prefects treat us like slaves.
"Kalau mereka pergi tanpa perbekalan, sama saja kita sudah mengeksekusi mereka.","If we send them off packing, we might as well execute them ourselves."
/semua punya kamu.,"Excuse me, excuse me!"
- Mengatakan apa-apa kepada siapa pun.,- saying anything to anybody.
"Terima kasih atas usahamu, tapi kami sudah memiliki semua informasi yang kami butuhkan sekarang.","Thank you for your efforts, but we have all the information we need now."
bangsa Mesir menggunakannya untuk menidurkan hewan peliharaan mungkin itu dikuburkan bersama pemiliknya yang medahului mereka.,Egyptians used it to euthanize beloved pets so that they could be buried with their owners who pre-deceased them.
Selamat malam.,Good evening.
Kau..,You.
Aku berbalik kepadamu,I turn to you
Kau lebih aman disini.,You're safer here.
"Aku akan mengirimimu alamat Han. Selama kita berbicara, mungkin saat ini Nikita sedang menuju ke Hong Kong.",Nikita's probably on her way to Hong Kong as we speak.
Yah.,Yeah.
30 tahun sejarah Dovebird Records.,30 years of Dovebird Records history.
"On O'Clare, 20.","On O'Clare, 20."
Nikmatilah.,Help yourself.
Di toko mesin.,In the machine shop.
Kau yang menyakitiku saat ini.,You seem to be the one doing the hurting at the moment.
"Tadi, ya./ Kau melihatku?","- Earlier, yeah. - Are you having a laugh with me?"
Fry.,It's Fry.
Hati - hati.,Drive safe.
Kau tahu siapa dia?,You know who he is?
Pasa.,Come on in.
- Aku tdiak tahu bagaimana mengatasi ini.,- I don't know how to cope with this.
♪ Supernatural 7x23 ♪ Survival of the Fittest,"♪ Supernatural 7x23 ♪ Survival of the Fittest Original Air Date on May 18, 2012"
Aku Bapa Doug.,I'm Father Doug.
"Sarah kata, kau tak ada di dalam bilik kau semalam.",Sarah mentioned you weren't in your room.
aku merasa menjadi laki laki yang selalu aku inginkan.,I feel like the man that I've always wanted to be.
Terimakasih.,Thanks.
Menenggelamkan hidung hingga telingaku.,Up my nose into my ears.
Ok.,Ok.
Boleh kita membuka jendela sebentar?,Do you mind opening the door?
Ya.,"Yeah, yeah."
Dia dibawah meja.,He's under the table.
Ya..?,Yeah...?
"Pastikan kita mendapatkan buku yang diterbitkan pada waktu, oke?","Please make sure we get the book published on time, okay?"
Saya Horace.,I'm Horace.
Seperti masuk .. Anda kenal sebagai masuk ..,As in... you know as in...
Baiklah.,Alright.
Ayo bergerak.,Let's move.
"Dia mungkin takut dimarahi ayah, jadi hyungnim tidak datang dan mengunjungiku dalam beberapa waktu ini.","He's probably afraid of getting blamed by father, so hyeongnim hasn't come and looked for me in a while."
"Kau tahu, nak.","You know, son..."
Pria ini juga sedang transfusi?,This man also had a transfusion?
"Miss Golightly, tetanggaku, berbaik hati membiarkanku masuk.","Miss Golightly, my neighbour, was kind enough to let me in."
Bapak Menteri !,Minister!
"Lihatlah, Tuan dan Nona-nona.","Look what I have, ladies and gentlemen."
"Baik, itu benar, tapi aku percaya itu, pada beberapa poin kecepatan, ukuran dan pengalaman akan sukses.","Well, that is true, but I gotta believe that, at some point speed, size and experience will prevail."
Aku akan pergi jauh.,I will be long gone.
Dimana Sam ?,- Where's Sam?
"Untukmu, Mama.","For you, Mama."
"Dan dia punya handler, codename Apotequil.","And he's got a handler, codename Apotequil."
apa kau selesai bermain Hallmark?,You done with this Hallmark moment?
"Kau tahu, seperti anarki di jalanan, sungai merah dengan darah para kapitalis, semua hal menyenangkan itu.","You know, like anarchy in the streets, rivers run red with capitalist blood, all that fun stuff."
Oh... lidahmu begitu hangat!,Oh... your tongue is so warm!
Itu terlalu besar untuk muat disini.,Too big to fit in here.
"Mereka yang bisa berdiri, merawat yang terluka. Yang masih kuat ikut denganku.","Those who can stand, tend to the wounded, and those who have strength left, follow me."
Saksi melaporkan dia tampak konyol dan mungkin perawan.,Witnesses report he is goofy-looking and probably a virgin.
- Bangun.,-Wake up.
Mengapa dia memakai alat pengawas elektronik?,Why was he wearing an electronic monitoring device?
- Oh. benarkah?,- Oh. Really?
- Aduh!,No! Wait!
Dua puluh tujuh orang kehilangan hidup mereka karena jembatan.,Twenty seven people have lost their life due to the bridge.
"Bapa Abbott mencoba kebaikan, tetapi harus meminta bantuan","Father Abbott tried kindness, but had to have recourse"
Tetapi hatiku berdebar sangat cepat Saat melihat Lucky Wu,But my heart beats like crazy at the sight of Lucky Wu
"Dia bilang dia dipecat dari perusahaannya, belum lama ini.","He said he was dismissed from his company, not long ago."
Tentu saja.,Of course.
Itu hanya rumor yang disebar para anjing !,That is just a rumor spread by dogs!
Sekarang apa?,Now what?
- Gagal.,- Busted.
Kita lihat saja nanti.,We'll see.
Ya.,Yes.
Status Penembak 3?,VETERAN: Status of turret three?
Kita memang selalu melewati situasi sulit.,It was always such a complicated situation.
"Nah, untuk bisnis.","Now, to business."
"Pendapatmu mengenai pengeluaran ekonomi, sangat menarik...","Your thoughts on economic extraction, very interest..."
Whew !,Whew !
Aku tahu Jenderal Ludendorff sangat dekat denganmu.,I know you and General Ludendorff are... very close.
Tuhanku lebih tua...,My gods are older...
/ Siapa yang memimpin sekarang?,- Who's in charge now?
"Jarra, itu hanya sebuah kesalahan kecil hingga mereka memenjarakan orang sejenius dirimu.","Jarra, it's a sin they've kept a genius like you locked away."
"""Pussy Wagon.""","""Pussy Wagon. """
Apakah kau serius?,Are you serious?
"Ketika Anda selesai, temui aku di rumah makan itu.","When you get finished, meet me in the diner."
Apanya yang Rumah Keamanan !,"Safe house, my ass."
"Ini adalah jam gelap, dan keyakinan arogan Anda bahwa Anda mampu melakukan apa saja hanya membuatnya lebih gelap.","It is a dark hour, and your arrogant belief that you are capable of anything has only made it darker."
"Oh, pergi sesegera ini?","Oh, leaving so soon?"
Ini pekerjaan marketing perusahaan makanan Bark Organic.,It's a marketing job with an organic pet food company.
- Tidak!,- No!
Anda membaca saya?,You read me?
Pusat Kontrol/Bilge Bay:,Control/Bilge Bay:
/Ya.,- Yeah.
Kau?,You?
Ayo pergi cepat.,Let's go quickly.
Baiklah.,All right.
PAKET TERKIRIM,PACKAGE DELIVERED
Saya harus bertemu Yoshiro di gunung berapi sekarang.,I have to meet Yoshiro at the volcano now.
"Tidak, aku... aku besok harus melakukan perjalanan panjang, dan sekarang... dan sekarang sudah gelap.","No, I... Does this place really spook you that much?"
Lalu aku tidak akan harus terus mengemis.,Then I won't have to keep begging.
"Dan di Amerika Serikat, ...hanya 0,004% dari populasi yang mendapat kemalangan ini.","And in the United States, .004% of the population share this affliction."
Mati rasa...,Numbness...
"Maksudku, kita sudah saling berjanji.","I mean, we made promises to each other."
Sean Archer akan menjauhimu selamanya.,I promise Sean Archer is off your back for good.
Aku tidak memberikan Anda tinggi lima.,I'm not giving you a high five.
♪ I believe in miracles ♪,# I believe in miracles #
- Kau yakin?,-Are you sure?
tidak terlalu ingat,can't remember why
Jujur.,Honest.
"Yeah, aku 21.","Yeah, I was 21."
Ow.,Ow.
Bisakah kau datang ke kantor kepala sekolah denganku?,Could I have you come to the principal's office with me?
"Lagunya bunyi terus dan kakek ini mengoceh, beringus--",_ _
"Meskipun kaki kiri dioperasi, kaki sebelah kanan sudah berubah bentuk.","Also, even if we operate on the left leg, the right leg is also in progress."
"Lebih baik, tapi itu pesan daruratmu, jadi kau duluan saja.","Better, yeah, but it's your SOS, so why don't you go first?"
Cha!,Cha!
Sudah.,Well done.
Ini tidak akan jatuh pada tahap penobatan.,It won't fall upon the coronation stage.
Bagaimana perasaanmu dengan kejutanku?,How did you like my surprise?
Jadi kita di tempat yang salah.,So we're in the wrong place.
Untuk persahabatan.,To...good friends.
- Kau mau mengikuti mereka.,- You will follow them.
Kami bersamamu.,We got you.
"Saat kau melihat senjata ini, kau ingin melawan mereka.",Then you saw the weapon and you turned against them.
Pastikan...,Just make...
Apa kalian mengerti?,Do I make myself crystal clear? Do you get it?
Kalian punya beberapa ide cukup lucu tentang saya.,You people have got some pretty funny ideas about me.
Karena saya apos; m prihatin bahwa mereka apos; akan bertanya... penutup adalah apa yang benar.,Because i'm concerned that they'll ask... cover is what's true.
Bagaimana dengan makanan?,What about food?
- Pelajari dgn cepat.,- Learn quickly.
Aku tak tahu kata sandimu.,I don't know your password.
"Aku hanya melihat keluar./ Untuk kalian berdua, mungkin.","- I'm just looking out. - For you two, maybe."
Michiel.,Michiel.
Menurutmu Dewan akan memecatnya?,"You don't think the board will get rid of him, do you?"
Energimu membantu ibuku menghubungkan kami.,Your energy helped my mother link us.
"Oh, Nick.","Oh, Nick."
Aku tak bisa tidur.,I can't sleep.
- Ya.,- Yeah.
Aku teman yang cukup baik dalam membantu.,I'm good enough friend to help.
Kami ada pesta ditempat kami malam ini.,Say... we're having a party at our place tonight.
The snall sudah kembali dan itu sangat besar dan gelap dan berbahaya dan salah.,The Snall is back and it is huge and dark and dangerous and wrong.
Kecuali orang yang salah.,Except people who are wrong.
Apa artinya Iris bagiku?,What does Iris mean to me?
Kadangkala aku tidak menyadari raut wajahku sendiri.,Sometimes it does things without checking with me first.
Aku sudah katakan kau tidak bisa.,I already said you can't.
"Ya, akan.","Yeah, it will be."
"Apa kamu bersedia mengakui atau tidak, bahwa Walter berbahaya -","Whether you're willing to recognize it or not, Walter is a danger-"
-Apakah ada sesuatu?,-Is there anything wrong?
"***Ayo, aku akan memelukmu dalam pelukanku***","""Come along, I shall hold you in my arms."""
kamu berarti mereka masih hidup di bawah sana?,You mean they're alive down there?
Menurutmu kita diciptakan untuk satu tujuan?,Do you think we are all created for a purpose?
Seperti rusa ini.,Like this deer.
Dia bilang kau pecundang menyedihkan.,She says you're a pathetic loser.
Kita pergi dari sini!,- Let's get out of here!
- Kau punya sesuatu yang perlu diedarkan?,- You got something you gotta lay off?
Nick satu-satunya yang tahu bagian dalam penjara itu.,Nick is the only one who knows the inside of that prison.
"Dan sisanya akan disapu di bawah karpet, Benarkan, Kapten?","And the rest just gets swept under the rug, right, captain?"
Tolonglah jangan tinggalkan saya disini!,Please don't leave me here!
Sial.,Shit.
"Tapi jika itu, bukankah sudah saatnya untuk mengatakan:","But if it were, wouldn't it be time to say:"
"Lex, apa yang terjadi?","- Lex, what happened?"
"Kuangkat telponnya, dan kau yang bilang.","I pick up that phone, and you're in."
Biar dia rasakan sendiri.,Let him feel alone.
Orang kaya Lindsay Lohan.,The rich man's Lindsay Lohan.
"Q..., / Q...,",- Q. - Q.
"Bangun, Letnan.","Wake up, Lieutenant."
"Itu milik kakakmu, bukan?","It's your brother's, is it not?"
"Tidak, tidak tahu apa yang kamu lakukan.","No, no. That's not true!"
Ted. Bisa bicara sebentar?,"Ted, can I see you for a moment?"
Terlalu pagi untuk misa.,Little early for mass.
R2-D2 dalam mode daya rendah sejak Master Luke pergi.,R2-D2 has been in low power mode ever since Master Luke went away.
Ibuku penggemar kopi instan.,My mother was a fan of instant coffee.
Mereka benar sana dengan Anda .,They're right there with you.
Kami memiliki tubuh anak itu di kamar mayat.,We had the boy's body in the morgue.
Tapi kubah telah tunjukkan sesuatu. Jalan yang baru.,"But the dome has shown me things, a new way to be."
Membantu obatnya turun,Helps the medicine go down
Apa yang kau inginkan?,What did you wish for?
Apa itu?,What was that?
Turunkan aku.,Put me down.
"Kau membunuh empat orang semalam, Termasuk satu dari kita.","You killed four men last night, including one of our own."
"Kamu mau kesuatu tempat, Walter?","- Going somewhere, Walter?"
Di mana Ayahmu mendapatkan ini?,Wh-where did your father find this?
Jangan bercanda.,You should not be joking about it.
Aku sudah mendengar semuanya.,I heard everything.
Supaya kamu bisa menjelaskan mengapa forensik memberitahu kami bahwa darahmu ditemukan berlumuran pada kaos yang ditemukan dalam loker Cody.,"So you can explain to us why forensics tells us that your blood was found I over a t-shirt we found in cody's locker. I told you, we had an argument."
"Kau tahu, kau mirip dengan ayahmu.","You know, you're like your dad."
"Kau bertanya padaku apa maksudku, kan?","You asked what I meant by that, right?"
Menyimpan rahasia?,Keeping secrets?
"Anda akan baik--baik saja, Anda mendengar saya?","You're going to be okay, you hear me?"
Aku sering mendengar suaranya.,I've heard 'em lots.
Dan kau?,And you?
Lebih cepat dari yang kau pikirkan,Sooner than you think.
Juga pada Patrick.,"I saw them on Patrick, too."
Hei. Hei!,"Hey, hey!"
"Latihan, latihan!","Practice, practice!"
Bercerita pada pasangan ini.,Just blowing the froth off a couple.
Atau di gelindingkan?,Or did you roll it in?
Tangkap dia!,Seize him!
Um... Apa pun yang kau inginkan.,"Um, anything you want."
"Dengar, jangan khawatir tentang itu.","Look, don't worry about it."
Sendirian.,By myself.
Lihat ini !,Look at this !
sini.,here.
Injector ini penguat kita.,These injectors are our boosters.
"Km adalah orang pertama yg tau, oke?","But I promise you, Herb, you'll be the first to know, okay?"
Dobby nakal!,- Bad Dobby!
Olav Sunded dari NCIS.,Olav Sunded from NCIS.
"Sejujurnya, itu kesalahanmu, kan?","Honestly, it is your fault, right?"
Kau ingin aku tahu bahwa Karakurt menyamar sebagai reporter.,You wanted me to know Karakurt was posing as a reporter.
Bagwun ini saja.,The Bagwun is alone.
- Selamatkan Perry.,- Save Perry.
Sekarang kirim aku kembali.,Now send me back.
Koki harus mengungkapkan keterampilan pemotongan.,The chef must express the skills of cutting.
"Terima kasih, Harvey.","Thank you, Harvey."
"Tidak, aku...","- I... No, I..."
"Lihat siapa itu, Paulie...","Look who it is, Paulie..."
"Terakhir kali para lords di Eyrie membentuk aliansi di para lord di Utara, mereka meruntuhkan dinasti terbesar yang pernah dikenal di dunia ini.","The last time the lords of the Eyrie formed an alliance with the lords of the North, they brought down the greatest dynasty this world has ever known."
Dalam account Anda itu pernah di sini.,It's none of your damn business what's in here
"Kita akan melubangi tembok ini, Jenny pasti akan suka.","We're gonna be punching holes in the drywall, Jenny's gonna love that."
Itu tempat kotor.,Dodgy place.
Eratkan talinya!,Make it taut!
- Ada seseorang kami dulu satu sekolah.,- There's this guy we both went to school with.
Aku tak perlu minum banyak.,I don't need much.
Itu membuatnya dipecat.,Forced him into early retirement.
Bahwa Anda peduli banyak untuk orang.,That you care very much for people.
Ambillah.,You take it.
Bisa kubantu?,Can I help?
Aku tidak memahami satu kata pun yang kau katakan.,I didn't understand one word you said.
"Dan pernah kamu bertemu dengan Bono, yang kurasa benar-benar bajingan.","And you once met Bono, which I suspect is total bullshit."
Tidak seorangpun harus harus melalui itu.,No one should have to go through that.
"- bye, bye.",- Bye.
"Kemungkinan pertama, dia mati, kedua, dalam Perlindungan Saksi.","One, he's dead, two, in Witness Protection."
- Kowalski!,- Kowalski!
"Kau tidak tahu apa yang kaumiliki hingga semua lenyap, Malone.","You don't know what you've got 'til it's gone, Malone."
Mari masuk dulu ke dalam!,Let's get in first!
Simpan batu nisannya.,"Save the headstone, man."
Hari keberuntungan.,Lucky day.
Itu bagus.,That's good.
Bagus.,Good.
"Dengar, kalian, kalian, kalian.","Listen, guys, guys, guys."
Mengingatkan Anda tentang apa?,Remind you of what?
{\fnCandara\fs60\b1\4cH000000\4aH80}Kita tak punya waktu.,We don't have time.
"Dengan begitu, Henry akan mengembalikan Francis sebagai pewaris berikutnya, dan dia tidak perlu membunuhku.","That way, Henry will have to turn to Francis as the next heir and there'll be no need to kill me."
Aku yakin dia menggunakan cakra api ketika Menyerang kita di negeri iblis.,I'm sure he had fire-natured chakra when he attacked us in the Demon Country.
Rebecca datang.,Rebecca came over.
Anda terlalu sibuk. Dgn kesenangan dan pertunjukkan.,You are too busy with the excitement and the show
- Apa kamu tidak suka?,- Is that bad?
- Tidak masalah untukku.,- That's fine by me.
"itu bagus sekali yah, aku tidak memiliki hal yang lebih baik yang bisa aku katakan padamu, Nick.","That'd be nice. Well, I'd like nothing better than to tell you, Nick."
Orang-orang melihat dan berpikir aku sudah gila untuk memperkerjakan seorang puerto rico.,People looked at me and thought I was crazy for hiring a puerto rican.
"Fokus./ Oh, iya, ya.","- Focus. - Oh, yeah, yeah."
Kelompok pemburu kami diciptakan untuk satu alasan dan hanya alasan itu saja.,The brotherhood of hunters was created for one reason and one reason alone.
Baiklah.,Alright.
Ini perintah tabib.,Medicus gave order.
- Ayahmu mengijinkanmu menyetir? .,Hurry up.
"/ Kata Caleb, dia anak Miranda.",Caleb says Miranda's son.
Apa yang terjadi?,What happened?
Siapa yang mengatakan itu?,Who said that?
- Apa yang kalian berdua lakukan disini?,- What you two doing in here?
Kami yakin Frederick Barnes sedang menuju kesana.,We have reason to believe that Frederick Barnes is on his way.
Maukah kau datang ke pengadilan?,will you come to the court?
Satu tatapan bernilai seratus cerita.,One look is worth a hundred tales.
Dia melawan dengan tinjunya dan hatinya.,He fights with the fist and with his heart.
"Ini adalah sebuah peringatan, Paul.","It's a warning, Paul."
HAMUNAPTRA 1290 tahun sebelum masehi.,HAMUNAPTRA - 1290 B.C.
"Aku akan membawanya kembali secepat aku bisa, oke?","I'll get him back as soon as I can, all right?"
"kalau kamu menjadi Margaux, apa yang akan kamu lakukan selanjutnya?","So, if you're Margaux, what do you do next?"
Mungkin masih dalam masa inkubasi.,Probably still in the incubation period.
Senang bertemu dengan kalian.,Nice to meet you.
"""Siapakah aku?""","""Who am I?"""
Tak ada yang sepertimu.,No one like you.
"Diam, jangan bergerak.","Freeze, don't move."
"Dimana dalam nama Tuhan kita akan menemukan seseorang untuk membaca peran Anak muda, sensitif Swiss penyair goatherder?","Where in heaven's name are we going to find someone to read the role of the young, sensitive Swiss poet goatherder?"
Sekali dalam setahun./ Kedengarannya berat.,- Once-in-a-year kind of a thing. - Sounds pressing.
Satunya cara untuk mengejutkannya adalah serangan udara.,The only way to surprise him is an aerial assault.
Pengintai kita salah.,The scouts were wrong.
"""Jack, kau bisa mendengarku ?""","""Jack, can you hear me?"
Compassion untuk seorang gadis berkata-kata berusia 6 tahun.,Compassion for a 6 year old speechless girl.
♪ You were there ♪,♪ you were there ♪
Bukan?,No?
Apa kau lapar?,Are you hungry?
Verrat apapun yang Ayah sebut itu. Ia Grimm.,It's freaking out.
Baiklah!,OK!
Dia berusaha menyelamatkan dirinya sendiri.,He was trying to save himself.
Ini selalu dirimu.,This is who you'll always be.
dan kemudian mereka muncul.,And then there they were.
"Wah, ini sih tidak lebih baik.","Well, this is no better."
Tidak !,My baby! My baby! My baby!
"Tidak! Teman, ayolah!","Guys, come on!"
"Sumberku bilang, Sejam lagi mereka akan bertransaksi dengan pihak thailand",In an hour's time they will be trading with a Thai seller
Letakkan senjatamu sekarang juga!,Put the goddamn gun down right fucking now!
Sergei Kubichek.,Sergei Kubichek.
Ya.,Yeah.
Daddy membutuhkan plester.,Daddy needs a Band-Aid.
Dimana bocah bodoh itu?,"Where is that silly, silly boy?"
Bersama seorang gadis bernama Milly Mayfair.,Milly Mayfair.
- Jika Anda menghancurkan dunia mereka.,Yes. You blew up their whole world.
Aku percaya padamu.,I believe you.
"Tentu saja kami menghargai semua yang dilakukan sukarelawan, tapi mungkin mereka tidak akan bertahan lebih lama lagi di luar sana.","Of course we appreciate everything that the volunteers are doing, but our children may be running out of time here."
Kurasa tidak.,I don't think so.
"Oh , yeah.",Oh yeah...
Clare!,Clare.
"Kau masih bisa, Eugene.","You still can, Eugene."
Sini.,Here.
"""Dan dia menasihati tenang, yang tampaknya tidak perlu,","""and he's advising calm, which seems unnecessary,"
"Hey, Selamat datang kembali, Kotter!","Hey, welcome back, Kotter!"
"Angka tujuh keberuntungan, angka sial 13, pamain bola, sepatu keberuntungan.","Lucky seven, unlucky 13, ballplayers, lucky shoes."
Kita bisa mencobanya./Tidak.,No.
911.,911.
Baiklah.,All right.
Suatu kehormatan bisa melihatnya.,That was a privilege to witness.
Aku belum dapat pesan dari saudaraku. Tapi hatiku masih percaya dia takkan mengkhianatiku. Karena dia tak punya alasan.,"I've had no message from my brother, but I still believe in my heart that he will not betray me, for he has no reason."
Apa yang dilakukan disana?,What is there to do?
