target,source
"Kalian berdua memiliki hal yang paling tidak sehat, Kusut, gila","You two have the most unhealthy, tangled-up, crazy thing"
-bagaimana keadaan tamanku?,- how's my park doing?
Namaku Gustav Briegleb.,My name is Gustav Briegleb.
Lihat ini !,Look at this !
"Oh, kau belum dimiliki... sampai kau dimiliki Chief.","Oh, you ain't been had... till you been had by the Chief."
"Hei, di mana Anda akan pergi?","Hey, where are you going?"
"Duduklah, sayangku.",Sit my dear.
Potong talinya sekarang!,Cut the falls now!
"Aku ingin kau tahu, jika Anda pernah merasa seperti Anda perlu tempat untuk datang ke rumah, baik, Anda memiliki satu.","I want you to know, if you ever feel like you need a place to come home to, well, you have one."
- Ohh!,Ohh!
"Menjilat jari-jari Anda, akan mendapatkan beberapa air liur.","Lick your fingers, get some saliva going."
- Apa?,- What?
Anda pengantin miskin wee.,You poor wee bride.
"Silakan, Masuklah..","Please, come in."
Seperti dalam dunia nyata.,- Like in the real world. - Uh-huh.
Mengapa kau akan percaya apa katanya?,Why would you believe anything he says?
Aku Agen Lisbon Dari CBI.,I'm Agent Lisbon with the CBI.
"Aku kerjakan setahun di Oxford selagi menempuh Master ku, dan di antara mengencani gadis ini, Wendy, kuingat membaca makalah tak diterbitkan ini oleh sarjana klasik ini di awal abad 20.","I did a year abroad at Oxford while working on my Masters, and in between dating this girl, Wendy, I remember reading this unpublished paper by this classics scholar from early 20th century."
Preposterous.,Preposterous.
"Jika tidak diperbaiki ketika saya turun,","If it's not fixed when I come down,"
"Aku tidak bisa merusaknya, sehingga orang lain tidak dapat memilikinya.","I can't ruin Geum Jan Di, so nobody can have her."
Tidak ada telpon sama sekali.,No call at all.
Kita pergi dari sini!,- Let's get out of here!
Kau mau atur saudarimu biar menurut?,You want to set your people straight?
Kata-mu kau temukan Orang -nya dan menunggu disini.,It said you found the man and to meet you here today.
menyeramkan tapi oke.,"Creepy, but okay."
Sekarang pergilah dan tidak ada masalah.,Now get out of here. And no more trouble.
- Yang Tepat.,- Right.
Baik.,Then you do that.
Tempat kerjanya 3000 mil jauhnya dari sini.,"His job's 3,000 miles away."
Aku merasa seperti aku bahkan tak tahu siapa aku lagi.,I feel like I don't even know who I am anymore.
Gilly.,Gilly.
"""Ayanami""!",Ayanami!
"Bukan dia yang melakukannya, tapi salah satu wartawan.",He didn't. One of the reporters did.
"Burrows, Burrows!","Burrows, Burrows!"
♪ and I'll be here ♪ (dan aku akan berada disini),♪ and I'll be here ♪
Astaga!,Virgin Mother!
Baru saja dipecat.,Just been laid off.
"dan beberapa miles kesana, 12 manusia mati di peternakan Pastur Young.","And a few Miles that way, 12 humans died at the Young farm."
- Itu adek lo?,- That's your brother?
Kurasa kau ada gunanya.,I've thought of a better use for you.
Dia tidak tahu apa yang akan terjadi.,- He doesn't know what's coming.
Jangan gegabah dengarkan kisahnya dulu.,"Don't be impulsive, listen to her story first."
Kami membeli perahu .,We bought a boat.
Sekarang dia milikku.,He's all mine now.
"Maaf, Saya pikir seseorang telah meninggalkan lampu.","Sorry, I thought someone had left the light on."
Temukan dia!,Find him!
"Jika sewa tidak dibayar, apalagi biaya 30 tael setahun.","If no rent is paid, never mind charge 30 taels a year."
Bajingan!,Asshole!
"Terima kasih, Harvey.","Thank you, Harvey."
Saya juga tahu itu.,I do know it too.
"- aku... - tidak, itu milikku.","- No, that's mine."
Akan lama lagi untuk terulang.,Haven't had an attack for ages.
Apakah kau seorang pemain baseball profesional?,Are you a professional baseball player?
Ini sangat sempurna!,This is so perfect!
"Saat terakhir aku di sini, tempat ini seperti kuburan. Yang dihantui bayang-bayang ayah mertuamu.","When last we parted, this house was but a tomb, haunted by the living specter of your husband's father."
Tapi keuntungan sebesar itu Hanyalah milik pemilik perkebunan.,But such profitable outcomes are reserved for plantation masters.
Kami ada pesta ditempat kami malam ini.,Say... we're having a party at our place tonight.
"Tunggu sebentar, eh?","Give it a rest, eh?"
Saya memiliki 5 menit untuk pergi Dan satu hal terakhir yang harus dilakukan,And one last thing to do You are at the root of your ministerrs corruption
Aku butuh anda.,I need you.
Kami... dia jauh lebih tangguh dari itu.,We're... he's much tougher than that.
Sekarang juga.,Right now.
Kita membesarkan anak yang pintar.,We raised a smart kid.
"Kau seorang pekerja, dan aku bisa memecatmu.","You're an employee, and I can fire you."
Bagaimana dengan penjualan buku-buku?,"What, about how books are sold?"
Dan apa misimu?,And what was your mission?
"Sampai ketemu, Charles.","See you, Charles."
aku merasa menjadi laki laki yang selalu aku inginkan.,I feel like the man that I've always wanted to be.
Biar aku perjelas hal ini.,Let me see if I have this straight.
Pesta ini membosankan.,This party sucks.
Hanya saja hujan.,It's just rain.
Apa kau baik-baik saja,Are you okay?
"Jika kau menutup matamu seperti ini, maka seluruh dunia akan menjadi gelap.","If you close your eyes like this, then the whole world will be dark."
Yang benar?,Really?
katakan..,Tell me.
Kami memiliki tahun yang besar di toko.,We have a banner year coming up.
Kira saya akan lebih baik pergi.,Guess I'd better go.
Ayah bawa sisanya.,I'll bring the last one.
Apa?,What?
Aku tidak tahan melihat perempuan sepertimu.,I can't bear to see woman come to this.
aku ingin menangis untukmu aku sudah berbeda sekarang itu adalah prosedur operasi yg mengubahmu Walter yg ada di dirimu tapi kau tidak bisa sembunyi dari siapa dirimu sebenarnya,I wanted to cry for you. I'm different now. It was a surgical procedure that made you the Walter you're clinging to... but you can't hide from who you are.
"Ayah, kita ini apa?","{Dad, what are we? }"
"Kau bahagia, kan?","You're happy, aren't you?"
Keluar alat kit Anda.,Get out your tool kit.
Tapi butuh biaya lebih dari $15.000 untuk gelombang pertama.,"But, it costs much more than $15,000 to make the first run."
Kami akan menggantung elegan lukisan minyak di sini .,We'll hang an elegant oil painting up here.
"Harusnya aku paling tidak memikirkan kemungkinan kalau itu nyata, ...yang telah kau lihat.",I should have at least considered the possibility that it was real... what you were seeing.
Dan dia meninggalkan istrinya yang sedang mengandung si bisu itu.,And he cut out on his wife when she was pregnant with that little mute of hers.
Michiel.,Michiel.
Kami siap.,We're ready.
Kau akan membuat kita tertangkap.,You're gonna get us caught.
Cantik.,It's beautiful.
"Tapi seperti, apa rencananya?","But like, what's the plan?"
"Sang ""Robin Hood lain""...","The ""Paisa Robin Hood""..."
Jadi kau tidak ikut bersamaku?,So you're not coming with me?
- OK,- OK
Cream...,Cream...
"Lady Gaga atau Madonna?""","Lady Gaga or Madonna?"""
Seperti sesuatu yang hidup.,Like it was something alive.
"dan ""Apa yang kau kenakan?""","and ""What did you wear?"""
"Kita belum masa percobaan, Pengacara.","We're not on trial yet, counselor."
Aku sedang berusaha untuk bisa bergerak.,I'm looking forward to making it all better.
"""Biarkan aku menjadi kesayanganmu, menari seperti chamiya""","""Let me be your hottie baby, dance like a chamiya"""
"pak, aku pikir itu sangat bijaksana.","Sir, I hardly think that's wise."
Jenny?,Jenny?
Oh.,Oh.
Jauh lebih aman.,But much safer.
Aku takkan pergi.,I've made up my mind I'm not leaving.
"Itu aku, pak.","It's me, sir."
"Kau bisa melakukannya, Monroe!","You can do it, Monroe!"
- Tidak ada pekerjaan.,-No jobs.
Lepaskan aku.,Just let me go.
kalau begitu lakukanlah,Just go and do that.
"Jenderal, 3 orang hilang, yang lainnya terluka.","General, three are missing the others are all injured"
"apa yang bisa kubilang, nak?","What do I say, son?"
mereka ingin sesuatu untuk makan dan minum?,Hey... You kids want something to eat and drink?
Tidak.,She's not.
Saya tidak orang itu.,I'm not that guy.
"Aku ingin kau tahu, mulai sekarang, semua akan berbeda.","I just want to let you know, from now on, things are gonna be different."
Apa?,What?
Bersama - sama.,- Together.
"Bukan urusan berkas, kan?","It wouldn't be for filing, would it?"
Mengapa dia memakai alat pengawas elektronik?,Why was he wearing an electronic monitoring device?
Supaya kamu bisa menjelaskan mengapa forensik memberitahu kami bahwa darahmu ditemukan berlumuran pada kaos yang ditemukan dalam loker Cody.,"So you can explain to us why forensics tells us that your blood was found I over a t-shirt we found in cody's locker. I told you, we had an argument."
"- Jadi, kau mengunci pintu dan meninggalkannya begitu saja?",- So what? That means you just leave?
"Aku akan mengirimimu alamat Han. Selama kita berbicara, mungkin saat ini Nikita sedang menuju ke Hong Kong.",Nikita's probably on her way to Hong Kong as we speak.
"dengan makeup yang banyak, kau macam bintang saja.","And with that much makeup, you'd be the star attraction."
- Dan aku?,- And I?
Tidak suka setelanmu.,Doesn't like your suit.
Bagaimana mereka akan bereaksi?,How are they going to react?
"Ya bisa saja. / Jadi kau bilang kita sedang menunggu lingkungan yang lebih baik dengan lebih banyak orang, bukan di restoran.","They could. So you said we were waiting for a better neighborhood with more people, not a fucking restaurant."
Apa kau teler?,Are you stoned or something?
"Kau tahu, seperti anarki di jalanan, sungai merah dengan darah para kapitalis, semua hal menyenangkan itu.","You know, like anarchy in the streets, rivers run red with capitalist blood, all that fun stuff."
Untuk apa kamu lakukan itu?,- What'd you do that for? - I don't know.
Ketika Anda keluar dari sini beberapa hari ... Anda akan menjadi orang terkaya di Kiev.,When you get out of here some day... you'll be the richest man in Kiev.
Saudaramu menyukai rahasianya.,Your brother likes his secrets.
di gereja.,"Over there, the church."
"Minggirlah, bulu babi kecil.","Get out the way, you little urchin."
"Anda mengatakan ""Maaf"" sering.",- You say sorry a lot.
"Kau bilang akan mengeluarkanku dari sini, kan?","You said that you were gonna get me out of here, right?"
"Kau bilang ini akan terjadi, Frank!","You told me this would happen, Frank!"
"Aku baru saja dihubungi Agen Bellamy, pria yang kuceritakan itu?","Well, I just got a call from agent Bellamy, that man I was telling you about?"
"- Hei, aku punya pertanyaan untuk Anda.","- Hey, I got a question for you."
Sialan!,Holy shit!
Dan pertunjukan kita berikutnya ?,And our next feature presentation?
"Ya, saya menyesal Mendengar tentang bunuh diri.","Yes, I was sorry to hear about his suicide."
Dia memanas dari pusatnya.,He's heating up from his core.
Baik.,Okay.
Itu harus dihentikan.,It's gotta stop.
Aku juga tahu siapa dia.,I know who he is too.
Monty.,"Oh, Monty."
- Kita diberi tahu kau akan menerangkan pada kita.,- We were told you would brief us.
Tempatku diambil.,My place got taken.
Tolong bawa juga Crocodile Dundee.,"By all means, bring along this Crocodile Dundee."
Ronny!,Ronny!
Dia akan terkena serangan jantung.,He's going into arrest.
"Mereka tembak Combo dijalanan dan sekarang, produk kita yang mereka jual.",They had Combo shot down in the street and now it's our product they're selling.
Apa?,What?
Aku lebih baik mati daripada menjadi bagian dalam ritualmu.,I would rather die than take part in your rites.
Kau paham kasus ini bisa mengubah tata negara Amerika?,You realize this case could alter the constitution of the United States?
Kita akan berdoa untuk Myrlie.,We're gonna pray for Myrlie.
"- Dengan serangga dikepalaku,","- With a bug on my head,"
"anda tidak akan mendapatkannya, frank?","You just don't get it, do you, Frank?"
"Oh, sayang!","Oh, baby!"
Keluar.,Get out.
Marcus!,Marcus!
Dia menerima peluru yang diperuntukkan untukmu.,She took a bullet meant for you.
Kenapa kau meminta kami membawa Eli Whitford untuk diinterogasi?,Why did you ask us to bring Eli Whitford in for questioning?
"Sekarang, kau masih mengenakannya.","Now, you dress the part still."
"Kalian...,",You guys...
"-Untuk iseng, setuju?","-For fun, okay?"
"Katakan pada raja bahwa perang ini tak berguna dan kau menolak mengambil bagian, bagaimana ?","""Stop this foolish war I refuse to help you"""
Itu bukan ide yang bagus.,- That doesn't seem like a good idea.
"Jika tahu siapa wanita itu, pasti akan kucabik².","If I ever found out who she was, I would rip her to pieces."
Kenapa awak masih lagi tercegat?,Why are you standing still?
Pria ini juga sedang transfusi?,This man also had a transfusion?
Dan bergegas dan cari kawan yang lebih baik.,And hurry up and get better bro.
Michelle ...,- Michelle....
"Oh, maaf.","Oh, I'm sorry."
Apa yang kau berikan padaku?,What do you give me?
Kau tak harus berdusta untuknya.,You don't have to lie for her.
Apa rekomendasimu?,What are your recommendations?
"Dan aku lakukan, meminta Anda untuk menahan kembalinya obsesi ini.","And I do, do beg you to resist the return of this obsession."
- Bagus .,- Good.
Anda - anda - anda mahu sesuatu yang mewah hari ini?,You -- you -- you want something fancy today?
"Oh, Tuhanku, tidak!","Oh, my god! Oh, my god!"
lakukan saja pekerjaanmu! ayo pergi...,Let go...
Memangnya di mana ini?,Where is here?
Kau bisa panggil bantuan sekarang.,You can call for that backup now.
Terima kasih.,Thank you.
"Tidak, maaf, kau pasti salah.","No, I'm sorry, you must be mistaken."
Seseorang yang kau cari?,A person you're looking for?
"Apa yang kau lakukan, Jack, huh?","What do you do, Jack, huh?"
Lima belas siaran.,Fifteen broadcasts.
Apakah tak ada belas kasih ?,Is there no mercy?
Biar aku tebak.,Let me guess.
Itu menurutku.,I'm just saying.
"Jika ini bisa menghibur, Dr. Palmer, Kau bukan pahlawan sama sekali.","If it's any consolation, Dr. Palmer, you're not really a hero."
Kau bahkan menikmati makan kimchi asinan.,You even had the sour kimchi so well.
"Maafkan aku, aku salah--","I'm sorry, I have the wrong-"
Aku hanya ingin Riley untuk menjadi bahagia.,I just wanted Riley to be happy.
Aku tidak bohong.,It's no lie.
Bukan seperti yang di kota.,"No, like, in the city."
"Oh, maaf.","Oh, sorry."
Santanico Pandemonium.,Santanico Pandemonium.
"- Tunggu, tunggu.","- Hold on, hold on. - Sit down,"
Baiklah.,Right.
"Dan kami, dia tak pernah...","And us, he never once..."
"Semak masih disana./ Begitu juga ibuku, dan dia bersamanya.",Semak is still out there. So is my mother. And she's with him.
"Kupikir aku bersikap pintar, mengunci semuanya di dalam jurnal.","I thought I was being smart, locking it all up in a journal."
Dan Anda aIso orang yang sangat jujur ? .,And you are also a very honest man.
Sampai jumpa.,See you around.
♪♪ Yeah ♪♪,Yeah
Tenaga siap.,Power.
Membuat hidup Anda neraka hidup.,Make your life a living hell.
Tidur denganku malam ini.,Sleep with me tonight.
"Sekarang, kalau kau berkata lagi...","- Now, if you even mention it..."
Aku tidak percaya Aku mengatakan ini-- Semacam madu digital atau sesuatu?,I can't believe I'm saying this-- some kind of digital honey or something?
Tolong aku!,Help me!
- Karena takut terjadi kecelakaan.,- for fear of accidents.
- Tempat ini berantakan. - Tidak masalah.,The place is a little untidy.
Sampai ketemu disana.,See you there.
Datanglah ke ayahmu.,Come to your dad.
Mungkin semuanya tidak sejelas yang kukira.,Maybe everything's not as black and white as I thought.
Mengapa?,Why?
"Fitz, Apa info terakhir ?","Fitz, what's the latest reading?"
Hati-hati. dengan cara ini.,Careful. This way.
Tidak sejak kau menggigitnya.,Not since you bit her.
Bagaimana dengan Nick ?,What about Nick?
Benarkah?,"Oh, yeah?"
Apa yang kau tak tahu adalah bahwa ketika alam semesta mengembang lagi. Semuanya akan seperti sekarang.,"What you don't know is that when the universe expands again, everything will be as it is now."
Bukankah itu Prof. Hugh?,Isn't it Professor Hugh?
{\cH00FFFF}Duduk sambil mengeluh bahwa tak ada satupun yang menarik dalam hidupmu... {\cH00FFFF}...semua bagian yang baik terjadi dan melewatimu begitu saja. {\cH00FFFF}Aku memahami hal itu sekarang.,It's about being the best you that you can be.
Mari kita pergi.,Let's go.
Lensa inframerah yang bisa membuat wajah Ghosts terlihat dari balik topeng.,Infrared lenses should virtually unmask our ghosty friends.
Halo?,Hello?
"Saat kita memasuki perangkap ini, aku yakin kita kalah jumlah.","When we waltz into this trap, I believe we may be outnumbered."
♪ Ch-Ch-Ch-Ch-Changes♪,♪ Ch-Ch-Ch-Ch-Changes
Pernahsepertisebelumnya dan sebagai everjust yakin,Ever as before and everjust as sure
- Saya tidak tahu itu.,- I didn't know that. - That's what I've learned.
Dalam ruang,So i toke loans
Apa yang kau lakukan?,What are you doing?
- Aku adalah pacarnya.,- I'm his girlfriend.
"Pak Walikota, terima kasih.","The Mayor, thank you."
"Sungguh beruntung, huh?","Pretty lucky, huh?"
"Dalam keadaan yang berbeda, Kau dan aku bisa jadi teman baik.","Under different circumstances, you and I could've been good friends."
"Hari ini, Zhou Yu dan Zhu Ge ...","T oday, Zhou Yu and Zhu Ge..."
Apa yang diperbuatnya untuk negara ini?,What she's done for this country?
Hilang tanpa jejak.,Gone without a trace.
Terima kasih.,Thank you.
- Aduh!,No! Wait!
- Selamatkan Perry.,- Save Perry.
Kerja!,Work!
"¶ dan kau, dan kau, dan kau ¶","¶ and you, and you, and you ¶"
"Itu yang sebenarnya terjadi pada putri kita, Matthew.","That's what happened to our daughter, Matthew."
"Jika tidak suci Gangga ada di masa depan, seluruh dunia akan tampak seperti itu telah menjadi seorang yatim piatu.","If the holy Ganges is not in existence in the future, the entire world will seem like it has become an orphan."
"""Saya tahu apa yang Anda pergi ke sekolah.""","""I know what school you go to."""
Muridku Kang Gyung Joon ingin jadi apa?,What does Kang Kyung Joon student want to be?
Apa yang barusan kubilang?,What did I just say?
Winston.,Winston.
Tidak apa-apa. 'Good girl'.,It's okay. Good girl.
Mereka pasti akan menyanjung kalian berdua. Keberhasilan itu bisa mendekatkan kita ke Senate.,"The city will praise you both, our voices carrying to the very steps of the Senate."
"Jika kau menatap sesuatu selama lebih dari 4 detik... orang lain akan secara otomatis berpaling untuk melihat, juga.","If you stare at something for over 4 seconds... others will automatically turn to look, too."
Berhati-hatilah.,Be careful.
Ada pesta koktail di waduk?,There's a cocktail party at the reservoir?
"Mulai saat ini, Jika kau mendengar lagu itu, aku tak ingin kau menjadi kacau.","In the meantime, if you listen to that song, I don't want you to fall apart."
Apa ini?,What is this?
Aku tidak memberikan Anda tinggi lima.,I'm not giving you a high five.
"Bagaimana dengan. ""Apakah kamu seperti Mr P. atau tidak?""","What about, ""Do you like Mr. P. or not?"""
Call 911!,Call 911!
- Mungkin dia mematikannya.,- Maybe she has it turned off.
"Sudah Berakhir, Chef kecil.","It's over, Little Chef."
St. Patrick's mengusir para orang kafir dan pengikut mistik.,St. Patrick's expulsion of the pagans and mystics.
Apakah ada tempat di mana orang pergi untuk belajar bagaimana berperilaku seperti ini?,is there a place where people go to learn how to behave like this?
Maju.,Move.
"Master, kau terpilih untuk ikut R2F!","Master, you've been selected for R2F!"
Bisa kubantu?,Can I help?
"- Oh, Tuhan !","- Oh, God!"
- Mereka menipu kita!,– They tricked us!
Apa maksudmu?,What is that supposed to mean?
"Dan di Amerika Serikat, ...hanya 0,004% dari populasi yang mendapat kemalangan ini.","And in the United States, .004% of the population share this affliction."
Memiliki beberapa masalah diri kita sendiri.,Had a few problems ourselves.
Jake.,Jake.
Arnie Hanger?,Arnie Hanger?
"Tetapi jika Anda ingin mendengar lemak , gadis jelek bernyanyi ...","But if you wanna hear that fat, ugly girl sing..."
Aku tinggal di Queens.,I live in Queens.
Aku tidak bisa bertahan dengan keadaan ini.,I can't go along with this.
Saudaraku.,- Brother.
"Dan beberapa jam kemudian, dia mati.","And in a few hours, he was dead."
itu adalah Nom-yi!,It was Nom-yi!
"Jangan sentuh aku, mengerti?","Don't fuckin' touch me, all right?"
Melanie!,Melanie!
Dia masih hidup?,He still alive?
"Shane dapat memberitahumu apa yang terjadi dengan orang Ryker, Chris.","Shane can tell you what happened with Ryker's man, Chris."
Mari kita pergi.,Let's go.
# I that am lost,♪ I that am lost ♪
- Ya.,Yes.
Ini permainan dari negeri asing.,It's a foreign game.
Apa yang terjadi pada lenganmu?,What happened to your arm?
Tunggu sebentar rekaman CCTV di hotel. Di tangannya tertinggal DNA manusia.,"If you used human skin, you'd make the best sex machines on the market."
"Terima kasih atas usahamu, tapi kami sudah memiliki semua informasi yang kami butuhkan sekarang.","Thank you for your efforts, but we have all the information we need now."
Mereka membuat lelucon.,They made a joke.
aku yakin mereka juga akan di tangkap.,I am sure they will be attacked too.
Kau datang. Aku tak percaya ini. Lihat!,"Oh, Linda!"
Kamu bersama saya dasar koki dapur,"You come with me, my delicious kitchen boy."
Tidak semua orang.,I wouldn't say anyone else.
Bagaimana dengan Moni menandatangani apapun yang kamu butuhkan... Kami ambil Liam.,How about Moni sign whatever the hell it is you need... we get Liam.
Konstruksi baru.,New construction.
Lalu Anda putuskan bagaimana kelanjutannya,Then you decide how to proceed.
Kemudian disk stereo berdentum.,Then the disk on the stereo twanged off and out.
"- Oh tidak, sayalah batu kejam -","Hell, no, I'm stone-cold."
